,counts
2024-07-21 03:00:00+00:00,10649.0
2024-07-21 04:00:00+00:00,10613.0
2024-07-21 05:00:00+00:00,10582.0
2024-07-21 06:00:00+00:00,10766.0
2024-07-21 07:00:00+00:00,10790.0
2024-07-21 08:00:00+00:00,10782.0
2024-07-21 09:00:00+00:00,10683.0
2024-07-21 10:00:00+00:00,10709.0
2024-07-21 11:00:00+00:00,10697.0
2024-07-21 12:00:00+00:00,10708.0
2024-07-21 13:00:00+00:00,10886.0
2024-07-21 14:00:00+00:00,10578.0
2024-07-21 15:00:00+00:00,10617.0
2024-07-21 16:00:00+00:00,10892.0
2024-07-21 17:00:00+00:00,10754.0
2024-07-21 18:00:00+00:00,10676.0
2024-07-21 19:00:00+00:00,10560.0
2024-07-21 20:00:00+00:00,10526.0
2024-07-21 21:00:00+00:00,10478.0
2024-07-21 22:00:00+00:00,10818.0
2024-07-21 23:00:00+00:00,10787.0
2024-07-22 00:00:00+00:00,10746.0
2024-07-22 01:00:00+00:00,10671.0
2024-07-22 02:00:00+00:00,10641.0
2024-07-22 03:00:00+00:00,10637.0
2024-07-22 04:00:00+00:00,10953.0
2024-07-22 05:00:00+00:00,10674.0
2024-07-22 06:00:00+00:00,10623.0
2024-07-22 07:00:00+00:00,10857.0
2024-07-22 08:00:00+00:00,10888.0
2024-07-22 09:00:00+00:00,10737.0
2024-07-22 10:00:00+00:00,10913.0
2024-07-22 11:00:00+00:00,10822.0
2024-07-22 12:00:00+00:00,10768.0
2024-07-22 13:00:00+00:00,10722.0
2024-07-22 14:00:00+00:00,10674.0
2024-07-22 15:00:00+00:00,10771.0
2024-07-22 16:00:00+00:00,10728.0
2024-07-22 17:00:00+00:00,10866.0
2024-07-22 18:00:00+00:00,10711.0
2024-07-22 19:00:00+00:00,10830.0
2024-07-22 20:00:00+00:00,10698.0
2024-07-22 21:00:00+00:00,10772.0
2024-07-22 22:00:00+00:00,10755.0
2024-07-22 23:00:00+00:00,10549.0
2024-07-23 00:00:00+00:00,10736.0
2024-07-23 01:00:00+00:00,10784.0
2024-07-23 02:00:00+00:00,10787.0
2024-07-23 03:00:00+00:00,10614.0
2024-07-23 04:00:00+00:00,10727.0
2024-07-23 05:00:00+00:00,10652.0
2024-07-23 06:00:00+00:00,10741.0
2024-07-23 07:00:00+00:00,10652.0
2024-07-23 08:00:00+00:00,10719.0
2024-07-23 09:00:00+00:00,10707.0
2024-07-23 10:00:00+00:00,10815.0
2024-07-23 11:00:00+00:00,10812.0
2024-07-23 12:00:00+00:00,10900.0
2024-07-23 13:00:00+00:00,10772.0
2024-07-23 14:00:00+00:00,10842.0
2024-07-23 15:00:00+00:00,10518.0
2024-07-23 16:00:00+00:00,10845.0
2024-07-23 17:00:00+00:00,10591.0
2024-07-23 18:00:00+00:00,10491.0
2024-07-23 19:00:00+00:00,10717.0
2024-07-23 20:00:00+00:00,10900.0
2024-07-23 21:00:00+00:00,10944.0
2024-07-23 22:00:00+00:00,10648.0
2024-07-23 23:00:00+00:00,10575.0
2024-07-24 00:00:00+00:00,10650.0
2024-07-24 01:00:00+00:00,10759.0
2024-07-24 02:00:00+00:00,10638.0
2024-07-24 03:00:00+00:00,10737.0
2024-07-24 04:00:00+00:00,10559.0
2024-07-24 05:00:00+00:00,10503.0
2024-07-24 06:00:00+00:00,10635.0
2024-07-24 07:00:00+00:00,10587.0
2024-07-24 08:00:00+00:00,10748.0
2024-07-24 09:00:00+00:00,10684.0
2024-07-24 10:00:00+00:00,10593.0
2024-07-24 11:00:00+00:00,10669.0
2024-07-24 12:00:00+00:00,10586.0
2024-07-24 13:00:00+00:00,10490.0
2024-07-24 14:00:00+00:00,10625.0
2024-07-24 15:00:00+00:00,10461.0
2024-07-24 16:00:00+00:00,10699.0
2024-07-24 17:00:00+00:00,10660.0
2024-07-24 18:00:00+00:00,10670.0
2024-07-24 19:00:00+00:00,10659.0
2024-07-24 20:00:00+00:00,10375.0
2024-07-24 21:00:00+00:00,10527.0
2024-07-24 22:00:00+00:00,10700.0
2024-07-24 23:00:00+00:00,10700.0
2024-07-25 00:00:00+00:00,10515.0
2024-07-25 01:00:00+00:00,10684.0
2024-07-25 02:00:00+00:00,10984.0
2024-07-25 03:00:00+00:00,10629.0
2024-07-25 04:00:00+00:00,10611.0
2024-07-25 05:00:00+00:00,10531.0
2024-07-25 06:00:00+00:00,10579.0
2024-07-25 07:00:00+00:00,10535.0
2024-07-25 08:00:00+00:00,10571.0
2024-07-25 09:00:00+00:00,10560.0
2024-07-25 10:00:00+00:00,10603.0
2024-07-25 11:00:00+00:00,10588.0
2024-07-25 12:00:00+00:00,10632.0
2024-07-25 13:00:00+00:00,10551.0
2024-07-25 14:00:00+00:00,10565.0
2024-07-25 15:00:00+00:00,10535.0
2024-07-25 16:00:00+00:00,10913.0
2024-07-25 17:00:00+00:00,10566.0
2024-07-25 18:00:00+00:00,10739.0
2024-07-25 19:00:00+00:00,10584.0
2024-07-25 20:00:00+00:00,10501.0
2024-07-25 21:00:00+00:00,10521.0
2024-07-25 22:00:00+00:00,10507.0
2024-07-25 23:00:00+00:00,10601.0
2024-07-26 00:00:00+00:00,10531.0
2024-07-26 01:00:00+00:00,10755.0
2024-07-26 02:00:00+00:00,10492.0
2024-07-26 03:00:00+00:00,10451.0
2024-07-26 04:00:00+00:00,10561.0
2024-07-26 05:00:00+00:00,10699.0
2024-07-26 06:00:00+00:00,10452.0
2024-07-26 07:00:00+00:00,10595.0
2024-07-26 08:00:00+00:00,10764.0
2024-07-26 09:00:00+00:00,10731.0
2024-07-26 10:00:00+00:00,10587.0
2024-07-26 11:00:00+00:00,10756.0
2024-07-26 12:00:00+00:00,10589.0
2024-07-26 13:00:00+00:00,10772.0
2024-07-26 14:00:00+00:00,10590.0
2024-07-26 15:00:00+00:00,10652.0
2024-07-26 16:00:00+00:00,10877.0
2024-07-26 17:00:00+00:00,10605.0
2024-07-26 18:00:00+00:00,10599.0
2024-07-26 19:00:00+00:00,10558.0
2024-07-26 20:00:00+00:00,10635.0
2024-07-26 21:00:00+00:00,10786.0
2024-07-26 22:00:00+00:00,10611.0
2024-07-26 23:00:00+00:00,10885.0
2024-07-27 00:00:00+00:00,10640.0
2024-07-27 01:00:00+00:00,10784.0
2024-07-27 02:00:00+00:00,10636.0
2024-07-27 03:00:00+00:00,10601.0
2024-07-27 04:00:00+00:00,10910.0
2024-07-27 05:00:00+00:00,10595.0
2024-07-27 06:00:00+00:00,10567.0
2024-07-27 07:00:00+00:00,10655.0
2024-07-27 08:00:00+00:00,10576.0
2024-07-27 09:00:00+00:00,10838.0
2024-07-27 10:00:00+00:00,10522.0
2024-07-27 11:00:00+00:00,10679.0
2024-07-27 12:00:00+00:00,10681.0
2024-07-27 13:00:00+00:00,10632.0
2024-07-27 14:00:00+00:00,10718.0
2024-07-27 15:00:00+00:00,10564.0
2024-07-27 16:00:00+00:00,10579.0
2024-07-27 17:00:00+00:00,10676.0
2024-07-27 18:00:00+00:00,10595.0
2024-07-27 19:00:00+00:00,10688.0
2024-07-27 20:00:00+00:00,10785.0
2024-07-27 21:00:00+00:00,10534.0
2024-07-27 22:00:00+00:00,10431.0
2024-07-27 23:00:00+00:00,10718.0
2024-07-28 00:00:00+00:00,10541.0
2024-07-28 01:00:00+00:00,10449.0
2024-07-28 02:00:00+00:00,10622.0
2024-07-28 03:00:00+00:00,10437.0
2024-07-28 04:00:00+00:00,10671.0
2024-07-28 05:00:00+00:00,10750.0
2024-07-28 06:00:00+00:00,10790.0
2024-07-28 07:00:00+00:00,10574.0
2024-07-28 08:00:00+00:00,10654.0
2024-07-28 09:00:00+00:00,10557.0
2024-07-28 10:00:00+00:00,10695.0
2024-07-28 11:00:00+00:00,10611.0
2024-07-28 12:00:00+00:00,10538.0
2024-07-28 13:00:00+00:00,10564.0
2024-07-28 14:00:00+00:00,10774.0
2024-07-28 15:00:00+00:00,10492.0
2024-07-28 16:00:00+00:00,10612.0
2024-07-28 17:00:00+00:00,10743.0
2024-07-28 18:00:00+00:00,10646.0
2024-07-28 19:00:00+00:00,10626.0
2024-07-28 20:00:00+00:00,10778.0
2024-07-28 21:00:00+00:00,10754.0
2024-07-28 22:00:00+00:00,10638.0
2024-07-28 23:00:00+00:00,10680.0
2024-07-29 00:00:00+00:00,10474.0
2024-07-29 01:00:00+00:00,10677.0
2024-07-29 02:00:00+00:00,10733.0
2024-07-29 03:00:00+00:00,10730.0
2024-07-29 04:00:00+00:00,10769.0
2024-07-29 05:00:00+00:00,10615.0
2024-07-29 06:00:00+00:00,10431.0
2024-07-29 07:00:00+00:00,10685.0
2024-07-29 08:00:00+00:00,10668.0
2024-07-29 09:00:00+00:00,10710.0
2024-07-29 10:00:00+00:00,10539.0
2024-07-29 11:00:00+00:00,10621.0
2024-07-29 12:00:00+00:00,10728.0
2024-07-29 13:00:00+00:00,10812.0
2024-07-29 14:00:00+00:00,10729.0
2024-07-29 15:00:00+00:00,10860.0
2024-07-29 16:00:00+00:00,10638.0
2024-07-29 17:00:00+00:00,10601.0
2024-07-29 18:00:00+00:00,10616.0
2024-07-29 19:00:00+00:00,10757.0
2024-07-29 20:00:00+00:00,10680.0
2024-07-29 21:00:00+00:00,10648.0
2024-07-29 22:00:00+00:00,10803.0
2024-07-29 23:00:00+00:00,10797.0
2024-07-30 00:00:00+00:00,10699.0
2024-07-30 01:00:00+00:00,10647.0
2024-07-30 02:00:00+00:00,10443.0
2024-07-30 03:00:00+00:00,10580.0
2024-07-30 04:00:00+00:00,10701.0
2024-07-30 05:00:00+00:00,10467.0
2024-07-30 06:00:00+00:00,10760.0
2024-07-30 07:00:00+00:00,10708.0
2024-07-30 08:00:00+00:00,10591.0
2024-07-30 09:00:00+00:00,10554.0
2024-07-30 10:00:00+00:00,10628.0
2024-07-30 11:00:00+00:00,10716.0
2024-07-30 12:00:00+00:00,10663.0
2024-07-30 13:00:00+00:00,10708.0
2024-07-30 14:00:00+00:00,10674.0
2024-07-30 15:00:00+00:00,10657.0
2024-07-30 16:00:00+00:00,10596.0
2024-07-30 17:00:00+00:00,10424.0
2024-07-30 18:00:00+00:00,10682.0
2024-07-30 19:00:00+00:00,10902.0
2024-07-30 20:00:00+00:00,10428.0
2024-07-30 21:00:00+00:00,10662.0
2024-07-30 22:00:00+00:00,10609.0
2024-07-30 23:00:00+00:00,10621.0
2024-07-31 00:00:00+00:00,10883.0
2024-07-31 01:00:00+00:00,10588.0
2024-07-31 02:00:00+00:00,10610.0
2024-07-31 03:00:00+00:00,10692.0
2024-07-31 04:00:00+00:00,10541.0
2024-07-31 05:00:00+00:00,10534.0
2024-07-31 06:00:00+00:00,10744.0
2024-07-31 07:00:00+00:00,10635.0
2024-07-31 08:00:00+00:00,10547.0
2024-07-31 09:00:00+00:00,10544.0
2024-07-31 10:00:00+00:00,10892.0
2024-07-31 11:00:00+00:00,10539.0
2024-07-31 12:00:00+00:00,10660.0
2024-07-31 13:00:00+00:00,10665.0
2024-07-31 14:00:00+00:00,10582.0
2024-07-31 15:00:00+00:00,10589.0
2024-07-31 16:00:00+00:00,10433.0
2024-07-31 17:00:00+00:00,10590.0
2024-07-31 18:00:00+00:00,10605.0
2024-07-31 19:00:00+00:00,10523.0
2024-07-31 20:00:00+00:00,10566.0
2024-07-31 21:00:00+00:00,10725.0
2024-07-31 22:00:00+00:00,10472.0
2024-07-31 23:00:00+00:00,10693.0
2024-08-01 00:00:00+00:00,10713.0
2024-08-01 01:00:00+00:00,10565.0
2024-08-01 02:00:00+00:00,10574.0
2024-08-01 03:00:00+00:00,10568.0
2024-08-01 04:00:00+00:00,10614.0
2024-08-01 05:00:00+00:00,10347.0
2024-08-01 06:00:00+00:00,10580.0
2024-08-01 07:00:00+00:00,10600.0
2024-08-01 08:00:00+00:00,10636.0
2024-08-01 09:00:00+00:00,10548.0
2024-08-01 10:00:00+00:00,10235.0
2024-08-01 11:00:00+00:00,10426.0
2024-08-01 12:00:00+00:00,10478.0
2024-08-01 13:00:00+00:00,10639.0
2024-08-01 14:00:00+00:00,10563.0
2024-08-01 15:00:00+00:00,10536.0
2024-08-01 16:00:00+00:00,10563.0
2024-08-01 17:00:00+00:00,10574.0
2024-08-01 18:00:00+00:00,10642.0
