date,mslp,tmpf,counts12,counts13,counts23
2024-07-15 16:00:00,1017.5,93.0,10704.0,5581.0,10422.0
2024-07-15 17:00:00,1016.4,92.0,10878.0,5683.0,10574.0
2024-07-15 18:00:00,1015.4,94.0,10622.0,5622.0,10353.0
2024-07-15 19:00:00,1014.7,89.0,10863.0,5681.0,10513.0
2024-07-15 20:00:00,1015.7,81.0,10657.0,5663.0,10469.0
2024-07-15 21:00:00,1015.0,81.0,10679.0,5753.0,10507.0
2024-07-15 22:00:00,1015.3,81.0,10583.0,5618.0,10357.0
2024-07-15 23:00:00,1015.6,80.0,10566.0,5709.0,10457.0
2024-07-16 00:00:00,1015.3,78.0,10643.0,5624.0,10385.0
2024-07-16 01:00:00,1015.9,78.0,10748.0,5657.0,10440.0
2024-07-16 02:00:00,1015.8,77.0,10723.0,5593.0,10351.0
2024-07-16 03:00:00,1015.8,76.0,10787.0,5731.0,10463.0
2024-07-16 04:00:00,1016.0,75.0,10799.0,5909.0,10598.0
2024-07-16 05:00:00,1015.9,75.0,10848.0,5811.0,10647.0
2024-07-16 06:00:00,1015.2,75.0,10612.0,5593.0,10278.0
2024-07-16 07:00:00,1015.4,75.0,10840.0,5725.0,10566.0
2024-07-16 08:00:00,1015.6,75.0,10724.0,5809.0,10507.0
2024-07-16 09:00:00,1016.1,74.0,10739.0,5717.0,10552.0
2024-07-16 10:00:00,1016.1,74.0,10594.0,5675.0,10294.0
2024-07-16 11:00:00,1016.6,76.0,10699.0,5655.0,10365.0
2024-07-16 12:00:00,1016.7,80.0,10795.0,5705.0,10499.0
2024-07-16 13:00:00,1017.0,83.0,10769.0,5703.0,10520.0
2024-07-16 14:00:00,1017.5,85.0,10699.0,5723.0,10581.0
2024-07-16 15:00:00,1017.1,88.0,10817.0,5696.0,10464.0
2024-07-16 16:00:00,1016.5,89.0,10732.0,5695.0,10340.0
2024-07-16 17:00:00,1015.9,89.0,10773.0,5676.0,10488.0
2024-07-16 18:00:00,1015.5,90.0,10655.0,5673.0,10440.0
2024-07-16 19:00:00,1015.5,83.0,10687.0,5618.0,10485.0
2024-07-16 20:00:00,1015.0,87.0,10764.0,5681.0,10363.0
2024-07-16 21:00:00,1015.4,85.0,10614.0,5557.0,10419.0
2024-07-16 22:00:00,1015.2,87.0,10563.0,5627.0,10360.0
2024-07-16 23:00:00,1015.2,86.0,10921.0,5840.0,10610.0
2024-07-17 00:00:00,1015.6,84.0,10859.0,5786.0,10570.0
2024-07-17 01:00:00,1015.5,83.0,10537.0,5567.0,10294.0
2024-07-17 02:00:00,1015.5,82.0,10668.0,5691.0,10412.0
2024-07-17 03:00:00,1015.5,81.0,10704.0,5606.0,10240.0
2024-07-17 04:00:00,1015.5,78.0,10552.0,5597.0,10277.0
2024-07-17 05:00:00,1015.4,78.0,10919.0,5749.0,10435.0
2024-07-17 06:00:00,1014.8,78.0,10699.0,5667.0,10407.0
2024-07-17 07:00:00,1014.4,76.0,10754.0,5712.0,10312.0
2024-07-17 08:00:00,1014.8,76.0,10653.0,5659.0,10283.0
2024-07-17 09:00:00,1015.9,75.0,10744.0,5702.0,10408.0
2024-07-17 10:00:00,1016.4,75.0,10768.0,5696.0,10391.0
2024-07-17 11:00:00,1017.2,76.0,10412.0,5538.0,10371.0
2024-07-17 12:00:00,1018.0,78.0,10589.0,5592.0,10392.0
2024-07-17 13:00:00,1017.4,81.0,10866.0,5784.0,10491.0
2024-07-17 14:00:00,1017.1,86.0,10826.0,5721.0,10681.0
2024-07-17 15:00:00,1016.5,89.0,10805.0,5746.0,10548.0
2024-07-17 16:00:00,1016.7,90.0,10839.0,5695.0,10538.0
2024-07-17 17:00:00,1016.1,91.0,10827.0,5735.0,10576.0
2024-07-17 18:00:00,1015.2,89.0,10740.0,5778.0,10534.0
2024-07-17 19:00:00,1015.4,80.0,10800.0,5726.0,10618.0
2024-07-17 20:00:00,1015.5,86.0,10667.0,5660.0,10367.0
2024-07-17 21:00:00,1014.8,84.0,10663.0,5670.0,10432.0
2024-07-17 22:00:00,1015.2,83.0,10702.0,5710.0,10499.0
2024-07-17 23:00:00,1016.2,81.0,10772.0,5617.0,10331.0
2024-07-18 00:00:00,1016.0,80.0,10704.0,5692.0,10426.0
2024-07-18 01:00:00,1016.3,78.0,10731.0,5736.0,10598.0
2024-07-18 02:00:00,1016.2,76.0,10684.0,5579.0,10222.0
2024-07-18 03:00:00,1015.7,76.0,10499.0,5593.0,10321.0
2024-07-18 04:00:00,1015.7,75.0,10608.0,5616.0,10287.0
2024-07-18 05:00:00,1015.9,75.0,10842.0,5715.0,10473.0
2024-07-18 06:00:00,1015.6,75.0,10557.0,5658.0,10380.0
2024-07-18 07:00:00,1015.7,75.0,10757.0,5700.0,10393.0
2024-07-18 08:00:00,1015.5,75.0,10843.0,5589.0,10339.0
2024-07-18 09:00:00,1015.5,74.0,10841.0,5724.0,10468.0
2024-07-18 10:00:00,1016.1,74.0,10442.0,5529.0,10328.0
2024-07-18 11:00:00,1016.6,75.0,10575.0,5633.0,10486.0
2024-07-18 12:00:00,1017.0,78.0,10773.0,5680.0,10350.0
