date,alti,tmpf,counts
2024-05-01 16:00:00+00:00,29.74,86.0,5118.0
2024-05-01 18:00:00+00:00,29.77,84.2,5118.0
2024-05-01 19:00:00+00:00,29.77,82.4,5118.0
2024-05-01 20:00:00+00:00,29.8,80.6,5118.0
2024-05-01 21:00:00+00:00,29.83,80.6,5063.0
2024-05-01 22:00:00+00:00,29.85,80.6,4973.0
2024-05-01 23:00:00+00:00,29.85,80.6,5046.0
2024-05-02 00:00:00+00:00,29.83,78.8,4945.0
2024-05-02 02:00:00+00:00,29.83,78.8,4997.0
2024-05-02 03:00:00+00:00,29.8,77.0,4979.0
2024-05-02 04:00:00+00:00,29.8,77.0,5116.0
2024-05-02 05:00:00+00:00,29.83,77.0,5046.0
2024-05-02 07:00:00+00:00,29.88,80.6,5173.0
2024-05-02 09:00:00+00:00,29.88,84.2,5048.0
2024-05-02 10:00:00+00:00,29.88,86.0,5064.0
2024-05-02 11:00:00+00:00,29.85,87.8,5064.0
2024-05-02 12:00:00+00:00,29.83,89.6,5064.0
2024-05-02 13:00:00+00:00,29.8,91.4,5064.0
2024-05-02 14:00:00+00:00,29.77,93.2,5080.0
2024-05-02 15:00:00+00:00,29.74,95.0,5034.0
2024-05-02 16:00:00+00:00,29.74,95.0,5171.0
2024-05-02 17:00:00+00:00,29.77,93.2,5161.0
2024-05-02 18:00:00+00:00,29.77,91.4,5112.0
2024-05-02 19:00:00+00:00,29.85,77.0,5152.0
2024-05-02 20:00:00+00:00,29.83,75.2,5096.0
2024-05-02 21:00:00+00:00,29.85,77.0,5154.0
2024-05-02 22:00:00+00:00,29.88,77.0,5130.0
2024-05-03 00:00:00+00:00,29.85,78.8,5113.0
2024-05-03 02:00:00+00:00,29.85,78.8,5026.0
2024-05-03 03:00:00+00:00,29.85,77.0,5174.0
2024-05-03 04:00:00+00:00,29.85,77.0,5306.0
2024-05-03 05:00:00+00:00,29.85,77.0,5047.0
2024-05-03 06:00:00+00:00,29.91,78.8,5069.0
2024-05-03 07:00:00+00:00,29.91,80.6,5229.0
2024-05-03 08:00:00+00:00,29.94,84.2,5215.0
2024-05-03 09:00:00+00:00,29.94,84.2,5107.0
2024-05-03 10:00:00+00:00,29.94,84.2,5110.0
2024-05-03 11:00:00+00:00,29.94,86.0,5210.0
2024-05-03 12:00:00+00:00,29.91,87.8,5183.0
2024-05-03 13:00:00+00:00,29.88,87.8,5151.0
2024-05-03 14:00:00+00:00,29.85,89.6,5276.0
2024-05-03 15:00:00+00:00,29.85,91.4,5125.0
2024-05-03 17:00:00+00:00,29.85,87.8,4976.0
2024-05-03 18:00:00+00:00,29.85,86.0,4976.0
2024-05-03 19:00:00+00:00,29.88,86.0,4954.0
2024-05-03 20:00:00+00:00,29.91,84.2,4887.0
2024-05-03 21:00:00+00:00,29.91,82.4,5002.0
2024-05-03 22:00:00+00:00,29.91,82.4,4990.0
2024-05-03 23:00:00+00:00,29.88,80.6,5122.0
2024-05-04 00:00:00+00:00,29.88,80.6,5173.0
2024-05-04 02:00:00+00:00,29.85,78.8,5135.0
2024-05-04 03:00:00+00:00,29.85,77.0,5063.0
2024-05-04 04:00:00+00:00,29.85,77.0,5108.0
2024-05-04 05:00:00+00:00,29.88,77.0,5043.0
2024-05-04 06:00:00+00:00,29.88,77.0,5159.0
2024-05-04 07:00:00+00:00,29.91,78.8,5216.0
2024-05-04 08:00:00+00:00,29.94,82.4,5208.0
2024-05-04 09:00:00+00:00,29.94,84.2,5261.0
2024-05-04 10:00:00+00:00,29.94,86.0,5058.0
2024-05-04 11:00:00+00:00,29.91,87.8,5079.0
2024-05-04 12:00:00+00:00,29.88,89.6,5123.5
2024-05-04 13:00:00+00:00,30.0,91.4,5123.5
2024-05-04 14:00:00+00:00,29.83,93.2,5168.0
2024-05-04 15:00:00+00:00,29.83,93.2,4938.0
2024-05-04 16:00:00+00:00,29.83,93.2,5053.0
2024-05-04 17:00:00+00:00,29.83,93.2,5143.0
2024-05-04 20:00:00+00:00,29.85,87.8,5154.0
2024-05-04 21:00:00+00:00,29.88,86.0,5154.0
2024-05-04 22:00:00+00:00,29.85,86.0,5193.0
2024-05-05 06:00:00+00:00,29.85,80.6,5124.0
2024-05-05 07:00:00+00:00,29.88,84.2,5136.0
2024-05-05 08:00:00+00:00,29.91,86.0,5152.0
2024-05-05 09:00:00+00:00,29.91,87.8,5105.0
2024-05-05 10:00:00+00:00,29.91,91.4,4970.0
2024-05-05 11:00:00+00:00,29.88,93.2,5166.0
2024-05-05 12:00:00+00:00,29.85,95.0,5159.5
2024-05-05 13:00:00+00:00,29.8,95.0,5159.5
2024-05-05 14:00:00+00:00,29.74,96.8,5153.0
2024-05-05 15:00:00+00:00,29.74,96.8,5111.0
2024-05-05 16:00:00+00:00,29.74,96.8,5212.0
2024-05-05 17:00:00+00:00,29.77,91.4,5243.0
2024-05-05 18:00:00+00:00,29.83,73.4,5243.0
2024-05-05 19:00:00+00:00,29.83,77.0,5095.0
2024-05-05 21:00:00+00:00,29.83,77.0,5079.5
2024-05-05 22:00:00+00:00,29.8,77.0,5079.5
2024-05-05 23:00:00+00:00,29.8,77.0,5079.5
2024-05-06 00:00:00+00:00,29.77,78.8,5049.0
2024-05-06 01:00:00+00:00,29.77,78.8,5249.0
2024-05-06 02:00:00+00:00,29.8,77.0,5101.0
2024-05-06 03:00:00+00:00,29.77,77.0,5252.0
2024-05-06 05:00:00+00:00,29.77,77.0,5110.0
2024-05-06 06:00:00+00:00,29.8,77.0,5135.0
2024-05-06 07:00:00+00:00,29.83,78.8,5065.0
2024-05-06 09:00:00+00:00,29.88,82.4,5265.0
2024-05-06 11:00:00+00:00,29.85,86.0,5123.0
2024-05-06 12:00:00+00:00,29.83,87.8,5062.0
2024-05-06 13:00:00+00:00,29.8,89.6,5123.5
2024-05-06 16:00:00+00:00,0.21,91.4,5185.0
2024-05-06 17:00:00+00:00,29.77,89.6,5213.0
2024-05-06 18:00:00+00:00,29.8,87.8,5241.0
2024-05-06 19:00:00+00:00,29.8,86.0,5240.0
2024-05-06 20:00:00+00:00,29.83,84.2,5290.0
2024-05-06 21:00:00+00:00,29.85,82.4,5290.0
2024-05-06 22:00:00+00:00,29.85,82.4,5290.0
2024-05-06 23:00:00+00:00,29.83,82.4,5340.0
2024-05-07 00:00:00+00:00,29.85,80.6,5131.0
2024-05-07 01:00:00+00:00,29.83,80.6,5134.5
2024-05-07 02:00:00+00:00,29.83,80.6,5138.0
2024-05-07 03:00:00+00:00,29.8,78.8,5160.0
2024-05-07 04:00:00+00:00,29.83,78.8,5167.0
2024-05-07 05:00:00+00:00,29.83,78.8,5169.0
2024-05-07 06:00:00+00:00,29.85,78.8,5180.0
2024-05-07 07:00:00+00:00,29.88,77.0,5096.0
2024-05-07 08:00:00+00:00,29.91,78.8,5132.0
2024-05-07 09:00:00+00:00,29.91,80.6,5107.0
2024-05-07 10:00:00+00:00,29.91,82.4,5120.0
2024-05-07 12:00:00+00:00,29.88,86.0,5106.5
2024-05-07 13:00:00+00:00,29.83,86.0,5106.5
2024-05-07 15:00:00+00:00,29.8,91.4,5014.0
2024-05-07 17:00:00+00:00,29.77,89.6,4991.0
2024-05-07 20:00:00+00:00,29.85,84.2,5219.0
2024-05-07 21:00:00+00:00,29.85,84.2,5015.0
2024-05-07 23:00:00+00:00,29.85,82.4,5196.0
2024-05-08 00:00:00+00:00,29.85,80.6,5136.0
2024-05-08 02:00:00+00:00,29.83,80.6,5208.0
