2024-06-05T10:09:40.580Z,0,0,0,106,64,103,0,924,725,935,
2024-06-05T10:10:40.583Z,0,0,0,89,56,100,0,905,697,910,
2024-06-05T10:11:40.586Z,0,0,0,73,46,72,0,909,691,875,
2024-06-05T10:12:40.586Z,0,0,0,77,41,85,0,857,745,832,
2024-06-05T10:13:40.588Z,0,0,0,89,50,86,0,881,688,878,
2024-06-05T10:14:40.588Z,0,0,0,80,45,84,0,866,710,853,
2024-06-05T10:15:40.590Z,0,0,0,71,38,83,0,831,700,842,
2024-06-05T10:16:40.591Z,0,0,0,89,40,78,0,853,702,779,
2024-06-05T10:17:40.591Z,0,0,0,79,39,70,0,842,637,776,
2024-06-05T10:18:40.593Z,0,0,0,77,48,82,0,849,649,820,
2024-06-05T10:19:40.593Z,0,0,0,80,39,73,0,857,645,764,
2024-06-05T10:20:40.595Z,0,0,0,83,43,76,0,919,704,808,
2024-06-05T10:21:40.595Z,0,0,0,93,53,93,0,863,679,806,
2024-06-05T10:22:40.597Z,0,0,0,96,54,89,0,892,694,820,
2024-06-05T10:23:40.597Z,0,0,0,81,29,59,0,778,682,800,
2024-06-05T10:24:40.598Z,0,0,0,79,41,71,0,854,670,764,
2024-06-05T10:25:40.599Z,0,0,0,81,51,89,0,887,722,863,
2024-06-05T10:26:40.601Z,0,0,0,88,39,87,0,913,695,838,
2024-06-05T10:27:40.601Z,0,0,0,72,40,94,0,892,685,855,
2024-06-05T10:28:40.603Z,0,0,0,88,49,97,0,894,677,826,
2024-06-05T10:29:40.603Z,0,0,0,102,52,73,0,964,713,875,
2024-06-05T10:30:40.605Z,0,0,0,88,49,92,0,917,713,872,
2024-06-05T10:31:40.605Z,0,0,0,105,50,90,0,904,743,905,
2024-06-05T10:32:40.606Z,0,0,0,88,44,84,0,912,744,817,
2024-06-05T10:33:40.606Z,0,0,0,108,65,105,0,939,811,864,
2024-06-05T10:34:40.606Z,0,0,0,76,39,95,0,845,717,834,
2024-06-05T10:35:40.607Z,0,0,0,96,53,106,0,896,766,832,
2024-06-05T10:36:40.608Z,0,0,0,102,41,80,0,934,721,802,
2024-06-05T10:37:40.609Z,0,0,0,105,67,115,0,892,747,872,
2024-06-05T10:38:40.610Z,0,0,0,92,58,99,0,889,707,831,
2024-06-05T10:39:40.611Z,0,0,0,93,48,97,0,878,728,838,
2024-06-05T10:40:40.612Z,0,0,0,86,56,88,0,879,716,836,
2024-06-05T10:41:40.613Z,0,0,0,87,45,89,0,859,745,850,
2024-06-05T10:42:40.614Z,0,0,0,100,58,88,0,956,775,898,
2024-06-05T10:43:40.614Z,0,0,0,92,44,82,0,908,731,792,
2024-06-05T10:44:40.615Z,0,0,0,102,54,93,0,962,774,852,
2024-06-05T10:45:40.616Z,0,0,0,106,49,72,0,933,756,820,
2024-06-05T10:46:40.616Z,0,0,0,102,50,81,0,958,756,834,
2024-06-05T10:47:40.617Z,0,0,0,81,39,85,0,892,743,876,
2024-06-05T10:48:40.619Z,0,0,0,69,30,75,0,896,736,806,
2024-06-05T10:49:40.620Z,0,0,0,78,40,80,0,979,755,865,
2024-06-05T10:50:40.620Z,0,0,0,84,42,80,0,913,744,881,
2024-06-05T10:51:40.621Z,0,0,0,98,64,98,0,963,788,859,
2024-06-05T10:52:40.622Z,0,0,0,84,39,61,0,932,701,847,
2024-06-05T10:53:40.623Z,0,0,0,97,58,100,0,949,715,875,
