name,lat,long,weather_station
Chara,34.01667,-118.28333,CQT
SantaMarta,34.89408,-120.43572,SMX
Abuja,9.0563,7.4985,DNAA
APO,32.7803,-105.8203,ALM
BelgradeV1,44.8125,20.4612,LYBE
BelgradeV2,44.8125,20.4612,LYBE
ColomboV1,6.9271,79.8612,VCCC
ColomboV2,6.9271,79.8612,VCCC
2Paddle,33.7536,-84.39015,ATL
4Paddle,33.7536,-84.39025,ATL
MarkV,33.7536,-84.39035,ATL
OneParkPlace,33.7536,-84.39045,ATL
Rm415_Muon001,33.7536,-84.39055,ATL
UvaWellassa,6.9895,81.0557,VCRI
